id,sku,price
5.68E+13,T4059,0.69
5.68E+13,KD14240,1.35
5.68E+13,KD13906,0.62
5.68E+13,KD18951,1.19
5.68E+13,KD15194,0.59
5.68E+13,KD26642,0.69
5.68E+13,P1028,0.69
5.68E+13,KD15210,0.65
5.68E+13,KD19126,0.68
5.68E+13,KD13875,0.45
5.68E+13,KD13562,0.42
5.68E+13,KD15197,0.85
5.68E+13,TY4911,4.15
5.68E+13,KD12283,0.69
5.68E+13,P1007,0.69
5.68E+13,KD13565,1.29
5.68E+13,T5041,0.69
5.68E+13,KD19125,0.65
5.68E+13,6700,1.09
5.68E+13,KD20783,1.49
5.68E+13,T5004,0.69
5.68E+13,P1006,0.65
5.68E+13,T5069,0.69
5.68E+13,KD14207,1.15
5.68E+13,KD29219,0.65
5.68E+13,KD20781,1.09
5.68E+13,KD20782,0.85
5.68E+13,KD33105,2.99
5.68E+13,KD04969,5.39
5.68E+13,KD31906,0.59
5.68E+13,KD32426,1.35
5.68E+13,KD14241,2.49
5.68E+13,KD21875,2.79
5.68E+13,KD31746,1.25
5.68E+13,KD20528,0.39
5.68E+13,KD27172,0.79
5.68E+13,KD15958,2.99
5.68E+13,4175,0.69
5.68E+13,KD17124,0.69
5.68E+13,KD14055,0.69
5.68E+13,KD19820,0.69
5.68E+13,KD20474,0.69
5.68E+13,KD20475,0.69
5.68E+13,6170,0.68
5.68E+13,KD20084,0.72
5.68E+13,KD25114,0.69
5.68E+13,KD25116,0.69
5.68E+13,KD25108,0.73
5.68E+13,KD20131,0.69
5.68E+13,KD25040,0.45
5.68E+13,KD20085,0.69
5.68E+13,KD21280,0.69
5.68E+13,KD20405,0.69
5.68E+13,KD20130,0.69
5.68E+13,KD25117,1.59
5.68E+13,KD12223,1.65
5.68E+13,KD18664,0.79
5.68E+13,KD32130,4.49
5.68E+13,KD13563,1.15
5.68E+13,KD21335,0.65
5.68E+13,KD11288,0.77
5.68E+13,KD30615,3.99
5.68E+13,KD31443,0.85
5.68E+13,KD31726,1.25
5.68E+13,6001,1.65
5.68E+13,KD31665,0.65
5.68E+13,KD31901,1.75
5.68E+13,KD30952,1.79
5.68E+13,KD30949,1.79
5.68E+13,KD30951,1.79
5.68E+13,KD04714,2.5
5.68E+13,KD30408,0.29
5.68E+13,KD30402,0.69
5.68E+13,KD30198,1.75
5.68E+13,KD31564,0.85
5.68E+13,KD32434,0.82
5.68E+13,KD31892,2.99
5.68E+13,KD32110,1.99
5.68E+13,KD13524,0.95
5.68E+13,KD30888,0.65
5.68E+13,KD23324,0.65
5.68E+13,KD32112,0.65
5.68E+13,KD30404,0.8
5.68E+13,KD32427,0.59
5.68E+13,KD30263,1.69
5.68E+13,KD30189,4.59
5.68E+13,KD15203,1.29
5.68E+13,KD04997,1.12
5.68E+13,KD04955,4.49
5.68E+13,KD32238,1.19
5.68E+13,KD33122,3.59
5.68E+13,KD04956,2.99
5.68E+13,KD04994,2.35
5.68E+13,KD04726,0.89
5.68E+13,8671,0.28
5.68E+13,KD31254,1.75
5.68E+13,KD10101,0.64
5.68E+13,KD21369,1.99
5.68E+13,KD15202,2.25
5.68E+13,KD15204,1.99
5.68E+13,KD32432,0.82
5.68E+13,KD12695,0.65
5.68E+13,KD28906,1.69
5.68E+13,KD11287,1.05
5.68E+13,KD27794,0.79
5.68E+13,KD32429,0.44
5.68E+13,KD31578,1.99
5.68E+13,KD13632,5.25
5.68E+13,KD16015,0.91
5.68E+13,KD29725,0.92
5.68E+13,KD30925,0.92
5.68E+13,KD31725,0.89
5.68E+13,KD31664,1.69
5.68E+13,KD32436,1.19
5.68E+13,KD31904,11.49
5.68E+13,KD11285,1.69
5.68E+13,KD29718,0.65
5.68E+13,KD31672,0.65
5.68E+13,KD31902,11.49
5.68E+13,KD32437,1.25
5.68E+13,KD29717,0.79
5.68E+13,KD29720,0.79
5.68E+13,KD32435,1.05
5.68E+13,KD30924,1.19
5.68E+13,KD30977,1.49
5.68E+13,KD31572,1.55
5.68E+13,KD29955,0.65
5.68E+13,KD31905,0.67
5.68E+13,TY1976YELLOW,3.09
5.68E+13,KD32430,0.55
5.68E+13,KD31671,0.75
5.68E+13,KD12749,2.69
5.68E+13,KD13842,0.29
5.68E+13,KD31253,1.75
5.68E+13,KD14158,0.85
5.68E+13,KD29959,2.45
5.68E+13,KD15107,2.09
5.68E+13,KD31756,0.99
5.68E+13,KD31743,2.99
5.68E+13,KD32240,1.19
5.68E+13,HTI1680759,21
5.68E+13,KD31759,2.29
5.68E+13,KD32227,1.19
5.68E+13,KD31758,1.49
5.68E+13,KD31757,1.49
5.68E+13,KD32239,2.19
5.68E+13,KD21329,6.29
5.68E+13,KD30964,1.49
5.68E+13,KD30961,1.19
5.68E+13,KD30260,4.99
5.68E+13,KD17745,1.59
5.68E+13,KD30188,2.59
5.68E+13,91163,0.81
5.68E+13,KD27768,1.35
5.68E+13,KD32230,0.89
5.68E+13,KD29596,0.95
5.68E+13,KD17811,2.59
5.68E+13,KD17808,1.15
5.68E+13,KD17810,1.29
