id,collection_id,product_id,created_at,updated_at,position,sort_value
4.89904E+13,6.52025E+11,15260092727645,2025-03-19T15:17:35+00:00,2025-03-19T15:17:35+00:00,2864,2864
4.89904E+13,6.52025E+11,15260092891485,2025-03-19T15:17:07+00:00,2025-03-19T15:17:07+00:00,2863,2863
4.89904E+13,6.52025E+11,15260092825949,2025-03-19T15:16:28+00:00,2025-03-19T15:16:28+00:00,2862,2862
4.89904E+13,6.52025E+11,15260093350237,2025-03-19T15:16:01+00:00,2025-03-19T15:16:01+00:00,2861,2861
4.89829E+13,6.52025E+11,15227360280925,2025-03-18T18:47:01+00:00,2025-03-18T18:47:01+00:00,2860,2860
4.89829E+13,6.52025E+11,15227348648285,2025-03-18T18:46:58+00:00,2025-03-18T18:46:58+00:00,2859,2859
4.89829E+13,6.52025E+11,15230980718941,2025-03-18T18:46:56+00:00,2025-03-18T18:46:56+00:00,2858,2858
4.89829E+13,6.52025E+11,15230980489565,2025-03-18T18:46:53+00:00,2025-03-18T18:46:53+00:00,2857,2857
4.89829E+13,6.52025E+11,15230980358493,2025-03-18T18:46:51+00:00,2025-03-18T18:46:51+00:00,2856,2856
4.89829E+13,6.52025E+11,15227337245021,2025-03-18T18:46:48+00:00,2025-03-18T18:46:48+00:00,2855,2855
4.89829E+13,6.52025E+11,15227333411165,2025-03-18T18:46:46+00:00,2025-03-18T18:46:46+00:00,2854,2854
4.89829E+13,6.52025E+11,15227332100445,2025-03-18T18:46:44+00:00,2025-03-18T18:46:44+00:00,2853,2853
4.89829E+13,6.52025E+11,15227331936605,2025-03-18T18:46:41+00:00,2025-03-18T18:46:41+00:00,2852,2852
4.89829E+13,6.52025E+11,15230994022749,2025-03-18T18:46:39+00:00,2025-03-18T18:46:39+00:00,2851,2851
4.89829E+13,6.52025E+11,15230993989981,2025-03-18T18:46:36+00:00,2025-03-18T18:46:36+00:00,2850,2850
4.89829E+13,6.52025E+11,15227288256861,2025-03-18T18:46:20+00:00,2025-03-18T18:46:20+00:00,2849,2849
4.89829E+13,6.52025E+11,15230980129117,2025-03-18T18:46:18+00:00,2025-03-18T18:46:18+00:00,2848,2848
4.89829E+13,6.52025E+11,15230979866973,2025-03-18T18:46:13+00:00,2025-03-18T18:46:13+00:00,2847,2847
4.89829E+13,6.52025E+11,15227334361437,2025-03-18T18:46:11+00:00,2025-03-18T18:46:11+00:00,2846,2846
4.89829E+13,6.52025E+11,15227342750045,2025-03-18T18:46:08+00:00,2025-03-18T18:46:08+00:00,2845,2845
4.89829E+13,6.52025E+11,15230979801437,2025-03-18T18:46:06+00:00,2025-03-18T18:46:06+00:00,2844,2844
4.89829E+13,6.52025E+11,15227333738845,2025-03-18T18:46:03+00:00,2025-03-18T18:46:03+00:00,2843,2843
4.89829E+13,6.52025E+11,15230430708061,2025-03-18T18:45:54+00:00,2025-03-18T18:45:54+00:00,2842,2842
4.89829E+13,6.52025E+11,15230451614045,2025-03-18T18:45:52+00:00,2025-03-18T18:45:52+00:00,2841,2841
4.89829E+13,6.52025E+11,15230453088605,2025-03-18T18:45:49+00:00,2025-03-18T18:45:49+00:00,2840,2840
4.89829E+13,6.52025E+11,15230429299037,2025-03-18T18:45:47+00:00,2025-03-18T18:45:47+00:00,2839,2839
4.89829E+13,6.52025E+11,15230420549981,2025-03-18T18:45:45+00:00,2025-03-18T18:45:45+00:00,2838,2838
4.89829E+13,6.52025E+11,15230429069661,2025-03-18T18:45:42+00:00,2025-03-18T18:45:42+00:00,2837,2837
4.89829E+13,6.52025E+11,15230404559197,2025-03-18T18:45:40+00:00,2025-03-18T18:45:40+00:00,2836,2836
4.89829E+13,6.52025E+11,15230400201053,2025-03-18T18:45:37+00:00,2025-03-18T18:45:37+00:00,2835,2835
4.89829E+13,6.52025E+11,15230432477533,2025-03-18T18:45:35+00:00,2025-03-18T18:45:35+00:00,2834,2834
4.89829E+13,6.52025E+11,15230402789725,2025-03-18T18:45:32+00:00,2025-03-18T18:45:32+00:00,2833,2833
4.89829E+13,6.52025E+11,15230403608925,2025-03-18T18:45:30+00:00,2025-03-18T18:45:30+00:00,2832,2832
4.89829E+13,6.52025E+11,15230392435037,2025-03-18T18:45:27+00:00,2025-03-18T18:45:27+00:00,2831,2831
4.89829E+13,6.52025E+11,15230386733405,2025-03-18T18:45:25+00:00,2025-03-18T18:45:25+00:00,2830,2830
4.89829E+13,6.52025E+11,15230398562653,2025-03-18T18:45:23+00:00,2025-03-18T18:45:23+00:00,2829,2829
4.89829E+13,6.52025E+11,15230448501085,2025-03-18T18:45:20+00:00,2025-03-18T18:45:20+00:00,2828,2828
4.89829E+13,6.52025E+11,15230446666077,2025-03-18T18:45:18+00:00,2025-03-18T18:45:18+00:00,2827,2827
4.89829E+13,6.52025E+11,15230399578461,2025-03-18T18:45:15+00:00,2025-03-18T18:45:15+00:00,2826,2826
4.89829E+13,6.52025E+11,15230441259357,2025-03-18T18:45:13+00:00,2025-03-18T18:45:13+00:00,2825,2825
4.89829E+13,6.52025E+11,15230442111325,2025-03-18T18:45:10+00:00,2025-03-18T18:45:10+00:00,2824,2824
4.89829E+13,6.52025E+11,15230410555741,2025-03-18T18:45:08+00:00,2025-03-18T18:45:08+00:00,2823,2823
4.89829E+13,6.52025E+11,15230413832541,2025-03-18T18:45:06+00:00,2025-03-18T18:45:06+00:00,2822,2822
4.89829E+13,6.52025E+11,15230398857565,2025-03-18T18:45:03+00:00,2025-03-18T18:45:03+00:00,2821,2821
4.89829E+13,6.52025E+11,15230427070813,2025-03-18T18:45:01+00:00,2025-03-18T18:45:01+00:00,2820,2820
4.89829E+13,6.52025E+11,15230433263965,2025-03-18T18:44:58+00:00,2025-03-18T18:44:58+00:00,2819,2819
4.89829E+13,6.52025E+11,15230438080861,2025-03-18T18:44:56+00:00,2025-03-18T18:44:56+00:00,2818,2818
4.89829E+13,6.52025E+11,15230445420893,2025-03-18T18:44:53+00:00,2025-03-18T18:44:53+00:00,2817,2817
4.89829E+13,6.52025E+11,15230435459421,2025-03-18T18:44:51+00:00,2025-03-18T18:44:51+00:00,2816,2816
4.89829E+13,6.52025E+11,15230424318301,2025-03-18T18:44:48+00:00,2025-03-18T18:44:48+00:00,2815,2815
4.89829E+13,6.52025E+11,15230432805213,2025-03-18T18:44:46+00:00,2025-03-18T18:44:46+00:00,2814,2814
4.89829E+13,6.52025E+11,15230406426973,2025-03-18T18:44:44+00:00,2025-03-18T18:44:44+00:00,2813,2813
4.89829E+13,6.52025E+11,15230426087773,2025-03-18T18:44:41+00:00,2025-03-18T18:44:41+00:00,2812,2812
4.89829E+13,6.52025E+11,15230384210269,2025-03-18T18:44:39+00:00,2025-03-18T18:44:39+00:00,2811,2811
4.89829E+13,6.52025E+11,15230422581597,2025-03-18T18:44:36+00:00,2025-03-18T18:44:36+00:00,2810,2810
4.89829E+13,6.52025E+11,15230436016477,2025-03-18T18:44:34+00:00,2025-03-18T18:44:34+00:00,2809,2809
4.89829E+13,6.52025E+11,15230398693725,2025-03-18T18:44:32+00:00,2025-03-18T18:44:32+00:00,2808,2808
4.89829E+13,6.52025E+11,15230433558877,2025-03-18T18:44:29+00:00,2025-03-18T18:44:29+00:00,2807,2807
